,description,train_median_human,train_median_synthetic,train_auc,val_median_human,val_median_synthetic,val_auc,train_mannwhitney_p
duration_s,total call duration (manifest),148.18,143.74,0.4694978268838037,144.78,146.5,0.4825119236883943,0.3858116397773693
caller_speech_s,caller speech time (official turns),38.14000000000002,36.240000000000016,0.4242027543593234,32.12000000000005,37.15999999999998,0.5524642289348172,0.03107022991190482
caller_speech_fraction,caller speech / call duration,0.26176713459950446,0.2507129277566538,0.4394931141016914,0.22455089820359292,0.257131692916746,0.6120826709062002,0.08523935839089117
n_caller_turns,number of caller turns,19.0,13.0,0.23349217154526886,20.0,14.0,0.2976947535771065,3.111660598008646e-14
n_agent_turns,number of agent turns,20.0,18.0,0.33486935120699585,22.0,18.5,0.25596184419713836,2.468115884263215e-06
mean_caller_turn_s,mean caller turn length,1.9771428571428569,2.610769230769228,0.6756558621773053,1.831666666666668,2.2784090909090917,0.7106518282988871,5.799148322106536e-07
first_caller_start_s,time until the caller first speaks (leading silence),1.14,10.44,0.9477928470440382,1.42,9.99,0.8990461049284579,3.449412420018973e-37
trailing_silence_s,silence after the caller's last turn,5.900000000000006,1.0,0.5346127664031,2.239999999999995,0.8999999999999986,0.529014308426073,0.3249138092421363
agent_speech_s,agent speech time,78.51999999999997,67.0,0.24896580614756245,79.25999999999999,69.92999999999998,0.2559618441971383,9.145687975125572e-13
median_response_latency_s,median caller response latency after an agent turn,1.7000000000000028,2.740000000000002,0.7845996753416767,1.6799999999999997,3.1149999999999984,0.8402225755166931,5.588978367213729e-16
overlap_s,seconds of caller/agent overlap,3.7800000000000002,1.35,0.21998219615646436,3.67,2.06,0.3092209856915739,1.6042684491108694e-15
caller_rms_db,caller channel RMS level (whole channel),-28.420581817626953,-22.16106414794922,0.798292925590407,-28.6136474609375,-21.76137065887451,0.9324324324324323,2.1095147319590523e-17
caller_speech_rms_db,caller RMS level inside speech,-23.444820404052734,-16.32036018371582,0.7898622820338272,-22.961484909057617,-16.40132999420166,0.9165341812400636,1.614823543298655e-16
caller_peak,caller peak amplitude,0.8553466796875,0.9803466796875,0.7005550610043462,0.7615966796875,0.9803466796875,0.8143879173290938,7.137105882753629e-10
caller_clipping_fraction,fraction of clipped caller samples,0.0,0.0,0.5,0.0,0.0,0.5,1.0
caller_rolloff95_hz,frequency below which 95% of caller speech energy lies,1468.75,1265.625,0.424281300727863,1375.0,1718.75,0.6832273449920508,0.031231671051431945
caller_centroid_hz,spectral centroid of caller speech,586.0417643103257,511.83719720319687,0.3342409802586794,591.9505786869873,497.9852792882366,0.3640699523052464,2.4033726811552286e-06
caller_hf_ratio_db,energy 3.4-4 kHz vs 0.3-3.4 kHz (telephone band edge),-29.741493225097656,-36.739479064941406,0.10635178300256586,-31.701135635375977,-33.53968620300293,0.24801271860095386,4.0285349066935053e-29
caller_noise_floor_db,caller channel noise floor (10th percentile frame level),-72.24716186523438,-72.24716186523438,0.5576792166308845,-72.24716186523438,-72.24716186523438,0.5663751987281398,0.03225270629479622
caller_snr_db,caller speech level minus noise floor,48.77252197265625,52.69962501525879,0.5901974132062628,48.145559310913086,54.95231914520264,0.6748807631160574,0.01028940289932787
agent_rms_db,agent channel RMS level,-24.923995971679688,-25.672042846679688,0.22239095145834425,-24.669349670410156,-25.67964744567871,0.15023847376788552,2.8112848601797618e-15
vad_n_regions,number of caller speech regions found by our VAD,17.0,13.0,0.28878881499711995,16.0,14.0,0.42011128775834655,1.7459292283763883e-09
n_chunks,number of 4 s chunks our segmentation produces,14.0,13.0,0.4333141331099125,12.0,14.0,0.6176470588235294,0.05726870469768986
