anon_id,label,split,n_off,energy_f1,energy_prec,energy_rec,energy_n,silero_s,silero_f1,silero_prec,silero_rec,silero_n,silero_speech_s,off_speech_s
call_0181ce113ebe,synthetic,train,10,0.9786155873112394,0.9644426687974431,0.9932112734005348,12,1.629176378250122,0.9436634605221436,0.9704347826086956,0.9183295618185559,13,45.99999999999997,48.57999999999997
call_018c9d3823ac,synthetic,train,10,0.9719353390211046,0.9577433628318585,0.9865542388331814,13,1.1718833446502686,0.9581139848935684,0.9622988505747126,0.9539653600729262,17,43.500000000000014,43.88000000000003
call_01bf49059daf,synthetic,train,10,0.9866881807180314,0.9737261146496815,1.0,10,1.7032077312469482,0.9814309120699072,0.9833105335157318,0.9795584627964022,14,73.1,73.37999999999997
call_01c3806808d6,synthetic,train,10,0.9617357001972386,0.9262917933130699,1.0,10,1.3526160717010498,0.9229559748427673,0.8860377358490567,0.963084495488105,9,26.499999999999986,24.380000000000006
call_0294f969f98b,synthetic,val,14,0.9238197424892703,0.8584247258225324,1.0,14,0.9412679672241211,0.9064124783362218,0.9017241379310345,0.9111498257839721,11,17.4,17.200000000000006
call_02c249d2f89d,synthetic,train,16,0.9438202247191011,0.9035202086049544,0.9878831076265147,16,1.3179433345794678,0.8855337078651685,0.8726643598615917,0.8987883107626514,10,28.89999999999998,28.020000000000024
call_02d28871d7b3,synthetic,train,11,0.9692703397861108,0.9544121567581978,0.9845984598459846,9,1.150402307510376,0.9691936780069649,0.9446475195822455,0.995049504950495,9,38.3,36.36000000000001
call_03680846967f,synthetic,train,10,0.9863355669425831,0.9762028608582575,0.9966808284652151,11,1.5508215427398682,0.9269779686850492,0.9692842654303101,0.8882103027084439,20,69.00000000000003,75.30000000000003
call_04d682ac0cef,human,train,10,0.96916430805899,0.9489498249708285,0.9902587519025875,9,1.6758692264556885,0.9618528610354223,0.9566395663956639,0.9671232876712329,9,33.199999999999996,32.83999999999998
call_05d6615469e1,synthetic,train,27,0.9599818443150011,0.9230433517602561,1.0,27,1.5017023086547852,0.9391394813108419,0.8884983127109112,0.9959022852639874,19,71.1,63.41999999999998
call_0615c3630150,human,train,28,0.9179963643708342,0.931161647203442,0.9051981676956782,26,1.2559340000152588,0.6843718079673136,0.9533973674848808,0.5337582154949213,11,28.09999999999998,50.17999999999997
call_064d8dd77899,synthetic,train,12,0.9450726978998385,0.9034749034749034,0.9906858594411516,10,1.2392654418945312,0.9199531433033971,0.8536231884057971,0.9974597798475868,11,27.60000000000001,23.6
call_06b5a78ea12e,synthetic,train,12,0.9772857415537316,0.963130173062453,0.9918636187524216,10,1.1017708778381348,0.960711918962416,0.9394556563599333,0.9829523440526927,11,54.000000000000014,51.60000000000001
call_0847d7417bb1,synthetic,val,12,0.958594730238394,0.9246196403872753,0.9951618905842947,13,0.9425759315490723,0.9381983240223464,0.8835909240381453,1.0,12,30.400000000000013,26.83999999999999
call_092aef8d1243,human,train,27,0.9070915619389587,0.910770617395223,0.9034421099687081,26,1.1092150211334229,0.5764959901295497,0.9298507462686567,0.4177469825659365,10,20.099999999999994,44.68000000000003
call_098d8081babe,synthetic,train,9,0.9756507136859782,0.9524590163934427,1.0,9,1.3165028095245361,0.9724666477434005,0.9623595505617978,0.9827882960413081,10,35.60000000000001,34.840000000000025
call_099dffdf8486,synthetic,train,12,0.9550964657674578,0.9283106538333886,0.9834739803094233,13,0.8970649242401123,0.9484113426716775,0.9222591362126246,0.9760900140646976,11,30.1,28.439999999999984
call_0a9c546208d1,human,train,7,0.9696969696969697,0.9411764705882353,1.0,7,0.9811570644378662,0.9592573491490459,0.9577754891864058,0.9607438016528925,7,19.400000000000006,19.32000000000002
call_0ab7d2a0c0f5,human,train,17,0.8790349983010534,0.9315808426359381,0.8321003538115149,12,0.996351957321167,0.8577340920848422,0.9245353159851301,0.7999356706336442,11,26.9,31.08
call_0cf2f4a71328,synthetic,val,17,0.9710391822827938,0.9477184555699243,0.9955365806326412,18,1.370875358581543,0.9553437967115097,0.9210952981444784,0.9922375315350281,13,55.50000000000001,51.52000000000001
call_0e101713ee94,synthetic,train,15,0.979868395335201,0.9669538382409669,0.9931325937665082,18,1.8672845363616943,0.8739831596974454,0.9506364483079789,0.808769149498151,22,64.4,75.68000000000004
call_0e1e2f29bfdc,human,val,12,0.9518956379942927,0.9310207336523126,0.9737281067556297,11,1.0625927448272705,0.8861838101034692,0.8629000395100751,0.9107589658048374,11,25.300000000000008,23.960000000000008
call_10aa0d1d33f0,human,val,16,0.9397081413210445,0.9046210720887246,0.9776268477826608,14,1.195073127746582,0.8486871384067646,0.9578101456554495,0.7618857371154615,8,19.9,25.00000000000003
call_10ceaf16fbbf,synthetic,train,9,0.9772310913373462,0.9574358974358974,0.9978621058257616,10,1.5200562477111816,0.9514588512364255,0.9320687003332478,0.9716729021913415,9,39.000000000000014,37.39999999999998
