anon_id,label,split,n_off,off_s,t12_f1,t12_prec,t12_rec,t12_s,t12_n,t12_chunks,t12_m0_f1,t12_m0_prec,t12_m0_rec,t12_m0_s,t12_m0_n,t12_m0_chunks,t12_m3_f1,t12_m3_prec,t12_m3_rec,t12_m3_s,t12_m3_n,t12_m3_chunks,t12_m6_f1,t12_m6_prec,t12_m6_rec,t12_m6_s,t12_m6_n,t12_m6_chunks,t15_f1,t15_prec,t15_rec,t15_s,t15_n,t15_chunks,t15_m3_f1,t15_m3_prec,t15_m3_rec,t15_m3_s,t15_m3_n,t15_m3_chunks,t18_m3_f1,t18_m3_prec,t18_m3_rec,t18_m3_s,t18_m3_n,t18_m3_chunks
call_0181ce113ebe,synthetic,train,10,48.57999999999997,0.9786155873112394,0.9644426687974431,0.9932112734005348,50.0299999999999,12,16,0.9768527918781726,0.9643215073160954,0.989714050606871,49.839999999999925,12,16,0.9786155873112394,0.9644426687974431,0.9932112734005348,50.0299999999999,12,16,0.9786155873112394,0.9644426687974431,0.9932112734005348,50.0299999999999,12,16,0.9786155873112394,0.9644426687974431,0.9932112734005348,50.0299999999999,12,16,0.9786155873112394,0.9644426687974431,0.9932112734005348,50.0299999999999,12,16,0.9782013586129981,0.9644142343062775,0.9923883974490846,49.9899999999999,12,16
call_018c9d3823ac,synthetic,train,10,43.88000000000003,0.9719353390211046,0.9577433628318585,0.9865542388331814,45.159999999999926,13,16,0.9746707193515705,0.9630700778642937,0.9865542388331814,44.90999999999991,13,16,0.9742320243051649,0.9622138252945099,0.9865542388331814,44.9499999999999,13,16,0.9742320243051649,0.9622138252945099,0.9865542388331814,44.9499999999999,13,16,0.9719353390211046,0.9577433628318585,0.9865542388331814,45.159999999999926,13,16,0.9742320243051649,0.9622138252945099,0.9865542388331814,44.9499999999999,13,16,0.9722660653889516,0.962070504239179,0.9826800364630811,44.79999999999987,14,16
call_01bf49059daf,synthetic,train,10,73.37999999999997,0.9866881807180314,0.9737261146496815,1.0,75.33000000000001,10,20,0.9872804360993337,0.9752692461108895,0.9995911692559281,75.18,10,20,0.9873485868102289,0.9752725339005583,0.9997274461706187,75.19000000000003,10,20,0.9873485868102289,0.9752725339005583,0.9997274461706187,75.19000000000003,10,20,0.9866881807180314,0.9737261146496815,1.0,75.33000000000001,10,20,0.9873485868102289,0.9752725339005583,0.9997274461706187,75.19000000000003,10,20,0.9874150346591292,0.9754022071533041,0.9997274461706187,75.18000000000004,10,20
call_01c3806808d6,synthetic,train,10,24.380000000000006,0.9617357001972386,0.9262917933130699,1.0,26.279999999999923,10,7,0.9617357001972386,0.9262917933130699,1.0,26.279999999999923,10,7,0.9617357001972386,0.9262917933130699,1.0,26.279999999999923,10,7,0.9617357001972386,0.9262917933130699,1.0,26.279999999999923,10,7,0.9617357001972386,0.9262917933130699,1.0,26.279999999999923,10,7,0.9617357001972386,0.9262917933130699,1.0,26.279999999999923,10,7,0.962305111505822,0.9273488018257893,1.0,26.249999999999925,10,7
call_0294f969f98b,synthetic,val,14,17.200000000000006,0.9238197424892703,0.8584247258225324,1.0,20.0399999999999,14,6,0.9295546558704454,0.8683812405446294,1.0,19.809999999999892,14,6,0.9290531427029943,0.8675062972292191,1.0,19.829999999999888,14,6,0.9288025889967637,0.8670694864048338,1.0,19.839999999999893,14,6,0.9238197424892703,0.8584247258225324,1.0,20.0399999999999,14,6,0.9290531427029943,0.8675062972292191,1.0,19.829999999999888,14,6,0.9295546558704454,0.8683812405446294,1.0,19.809999999999892,14,6
call_02c249d2f89d,synthetic,train,16,28.020000000000024,0.9438202247191011,0.9035202086049544,0.9878831076265147,30.639999999999908,16,12,0.9460566746329805,0.9079292267365662,0.9875267284390592,30.479999999999897,16,12,0.9457337883959044,0.9073346430910282,0.9875267284390592,30.489999999999903,16,12,0.9452498720791404,0.906444226365718,0.9875267284390592,30.519999999999904,16,12,0.9438202247191011,0.9035202086049544,0.9878831076265147,30.639999999999908,16,12,0.9457337883959044,0.9073346430910282,0.9875267284390592,30.489999999999903,16,12,0.9462182004439132,0.9082268108816781,0.9875267284390592,30.4599999999999,16,12
call_02d28871d7b3,synthetic,train,11,36.36000000000001,0.9692703397861108,0.9544121567581978,0.9845984598459846,37.46999999999998,9,12,0.9692703397861108,0.9544121567581978,0.9845984598459846,37.46999999999998,9,12,0.9692703397861108,0.9544121567581978,0.9845984598459846,37.46999999999998,9,12,0.9692703397861108,0.9544121567581978,0.9845984598459846,37.46999999999998,9,12,0.9692703397861108,0.9544121567581978,0.9845984598459846,37.46999999999998,9,12,0.9692703397861108,0.9544121567581978,0.9845984598459846,37.46999999999998,9,12,0.9697954760937288,0.9554310114758473,0.9845984598459846,37.439999999999976,9,12
call_03680846967f,synthetic,train,10,75.30000000000003,0.9863355669425831,0.9762028608582575,0.9966808284652151,76.88999999999992,11,20,0.985781990521327,0.9775456919060053,0.9941582580987786,76.5899999999999,11,20,0.985781990521327,0.9775456919060053,0.9941582580987786,76.5899999999999,11,20,0.9858487461330876,0.9775486228951834,0.99429102496017,76.59999999999991,11,20,0.9863355669425831,0.9762028608582575,0.9966808284652151,76.88999999999992,11,20,0.985781990521327,0.9775456919060053,0.9941582580987786,76.5899999999999,11,20,0.9845119620378303,0.9774898573485146,0.991635687732342,76.39999999999992,12,20
call_04d682ac0cef,human,train,10,32.83999999999998,0.96916430805899,0.9489498249708285,0.9902587519025875,34.23999999999999,9,11,0.9695976154992548,0.9497810218978102,0.9902587519025875,34.219999999999985,9,11,0.9694531366413351,0.9495037945125511,0.9902587519025875,34.22999999999998,9,11,0.96916430805899,0.9489498249708285,0.9902587519025875,34.23999999999999,9,11,0.96916430805899,0.9489498249708285,0.9902587519025875,34.23999999999999,9,11,0.9694531366413351,0.9495037945125511,0.9902587519025875,34.22999999999998,9,11,0.9701759618252311,0.9508915521777258,0.9902587519025875,34.18999999999998,9,11
call_05d6615469e1,synthetic,train,27,63.41999999999998,0.9599818443150011,0.9230433517602561,1.0,68.70999999999977,27,25,0.9599818443150011,0.9230433517602561,1.0,68.70999999999977,27,25,0.9599818443150011,0.9230433517602561,1.0,68.70999999999977,27,25,0.9599818443150011,0.9230433517602561,1.0,68.70999999999977,27,25,0.9599818443150011,0.9230433517602561,1.0,68.70999999999977,27,25,0.9599818443150011,0.9230433517602561,1.0,68.70999999999977,27,25,0.9605631670577549,0.9241188464899505,1.0,68.63999999999976,27,25
call_0615c3630150,human,train,28,50.17999999999997,0.9179963643708342,0.931161647203442,0.9051981676956782,48.75999999999977,26,15,0.7983193277310925,0.9641950944460107,0.6811392152957578,35.429999999999914,15,12,0.8154584953121427,0.9573154362416108,0.7102170882294364,37.21999999999987,18,12,0.8197654559945349,0.9569377990430622,0.716988647679745,37.589999999999904,17,13,0.9179963643708342,0.931161647203442,0.9051981676956782,48.75999999999977,26,15,0.8154584953121427,0.9573154362416108,0.7102170882294364,37.21999999999987,18,12,0.8118583458299689,0.9646381578947368,0.7008564031069509,36.44999999999987,17,12
call_064d8dd77899,synthetic,train,12,23.6,0.9450726978998385,0.9034749034749034,0.9906858594411516,25.889999999999937,10,8,0.9466019417475728,0.9062742060418281,0.9906858594411516,25.80999999999994,10,8,0.9462191670036393,0.9055727554179567,0.9906858594411516,25.829999999999934,10,8,0.9460278956943602,0.9052224371373307,0.9906858594411516,25.83999999999994,10,8,0.9485204702067288,0.9097978227060654,0.9906858594411516,25.70999999999994,10,8,0.949290060851927,0.9112149532710281,0.9906858594411516,25.669999999999934,10,8,0.9448754593711719,0.9124605678233438,0.9796782387806944,25.349999999999923,12,10
call_06b5a78ea12e,synthetic,train,12,51.60000000000001,0.9772857415537316,0.963130173062453,0.9918636187524216,53.129999999999946,10,16,0.9697911607576494,0.972530683810637,0.967067028283611,51.28999999999994,9,15,0.9799043062200957,0.9682299546142209,0.9918636187524216,52.83999999999996,10,16,0.9794356767097083,0.9673153221235594,0.9918636187524216,52.87999999999999,10,16,0.9772857415537316,0.963130173062453,0.9918636187524216,53.129999999999946,10,16,0.9799043062200957,0.9682299546142209,0.9918636187524216,52.83999999999996,10,16,0.9779397659696911,0.9684650455927052,0.9876017047655947,52.58999999999994,12,17
call_0847d7417bb1,synthetic,val,12,26.83999999999999,0.958594730238394,0.9246196403872753,0.9951618905842947,28.849999999999962,13,12,0.9582062780269058,0.9248614958448753,0.9940454037960551,28.81999999999997,13,12,0.9587665830046612,0.9249394673123487,0.9951618905842947,28.83999999999997,13,12,0.958594730238394,0.9246196403872753,0.9951618905842947,28.849999999999962,13,12,0.958594730238394,0.9246196403872753,0.9951618905842947,28.849999999999962,13,12,0.9587665830046612,0.9249394673123487,0.9951618905842947,28.83999999999997,13,12,0.9594254937163376,0.9268123482483525,0.9944175660588016,28.759999999999977,13,12
call_092aef8d1243,human,train,27,44.68000000000003,0.9070915619389587,0.910770617395223,0.9034421099687081,44.26999999999996,26,12,0.7734691212952083,0.9299843014128728,0.6620473848904783,31.719999999999978,20,9,0.7810436358927878,0.9282856263465682,0.6741171211443898,32.369999999999976,20,9,0.8121533030761473,0.9314632735685368,0.7199374161823872,34.43,22,9,0.9070915619389587,0.910770617395223,0.9034421099687081,44.26999999999996,26,12,0.7810436358927878,0.9282856263465682,0.6741171211443898,32.369999999999976,20,9,0.776154448212888,0.9320175438596491,0.6649530621367904,31.809999999999974,20,8
call_098d8081babe,synthetic,train,9,34.840000000000025,0.9756507136859782,0.9524590163934427,1.0,36.579999999999956,9,12,0.9778401122019635,0.9566410537870472,1.0,36.41999999999993,9,11,0.9775659001682557,0.9561162918266594,1.0,36.439999999999955,9,11,0.9774288518155054,0.9558541266794626,1.0,36.44999999999996,9,11,0.9756507136859782,0.9524590163934427,1.0,36.579999999999956,9,12,0.9775659001682557,0.9561162918266594,1.0,36.439999999999955,9,11,0.9779772759152756,0.9569036508372221,1.0,36.41999999999993,9,11
call_099dffdf8486,synthetic,train,12,28.439999999999984,0.9550964657674578,0.9283106538333886,0.9834739803094233,30.08999999999991,13,10,0.9564028038981023,0.9307820299500832,0.9834739803094233,30.009999999999913,13,10,0.9564028038981023,0.9307820299500832,0.9834739803094233,30.009999999999913,13,10,0.9564028038981023,0.9307820299500832,0.9834739803094233,30.009999999999913,13,10,0.9550964657674578,0.9283106538333886,0.9834739803094233,30.08999999999991,13,10,0.9564028038981023,0.9307820299500832,0.9834739803094233,30.009999999999913,13,10,0.9568936024632227,0.9317121918720853,0.9834739803094233,29.979999999999905,13,10
call_0a9c546208d1,human,train,7,19.32000000000002,0.9696969696969697,0.9411764705882353,1.0,20.539999999999964,7,8,0.9696969696969697,0.9411764705882353,1.0,20.539999999999964,7,8,0.9696969696969697,0.9411764705882353,1.0,20.539999999999964,7,8,0.9696969696969697,0.9411764705882353,1.0,20.539999999999964,7,8,0.9696969696969697,0.9411764705882353,1.0,20.539999999999964,7,8,0.9696969696969697,0.9411764705882353,1.0,20.539999999999964,7,8,0.969939879759519,0.9416342412451362,1.0,20.51999999999996,7,8
