source,label,y,variant,clip,seconds,n_chunks,score,p_synthetic,pred
edge-tts es-MX-DaliaNeural,synthetic,1,8k,0,7.6,2,8.885493755340576,0.9998573967950184,1
edge-tts es-MX-DaliaNeural,synthetic,1,pstn,0,7.6,2,1.9585229754447937,0.9311221673953913,1
edge-tts es-MX-DaliaNeural,synthetic,1,8k,1,6.1,2,5.779550790786743,0.9976531771117904,1
edge-tts es-MX-DaliaNeural,synthetic,1,pstn,1,6.1,2,-1.6901152729988098,0.3343316606234226,0
edge-tts es-MX-DaliaNeural,synthetic,1,8k,2,5.0,1,4.855180263519287,0.9946118202957317,1
edge-tts es-MX-DaliaNeural,synthetic,1,pstn,2,5.0,1,-1.8775994777679443,0.29778806638034144,0
edge-tts es-MX-DaliaNeural,synthetic,1,8k,3,7.6,2,8.817354679107666,0.9998483539694211,1
edge-tts es-MX-DaliaNeural,synthetic,1,pstn,3,7.6,2,2.0563494116067886,0.9365731039123789,1
edge-tts es-MX-JorgeNeural,synthetic,1,8k,4,7.6,2,11.922273635864258,0.9999907958275014,1
edge-tts es-MX-JorgeNeural,synthetic,1,pstn,4,7.6,2,3.1918958723545074,0.9762726534785942,1
edge-tts es-MX-JorgeNeural,synthetic,1,8k,5,3.6,1,11.661474227905273,0.9999883534157709,1
edge-tts es-MX-JorgeNeural,synthetic,1,pstn,5,3.6,1,0.6442128419876099,0.8050178933464502,1
edge-tts es-MX-JorgeNeural,synthetic,1,8k,6,5.2,1,5.533877849578857,0.997072386141416,1
edge-tts es-MX-JorgeNeural,synthetic,1,pstn,6,5.2,1,-0.3443775177001953,0.6285037410774207,1
edge-tts es-MX-JorgeNeural,synthetic,1,8k,7,7.6,2,11.840322494506836,0.9999900893193658,1
edge-tts es-MX-JorgeNeural,synthetic,1,pstn,7,7.6,2,2.807787835597992,0.9667689644804717,1
edge-tts es-CO-SalomeNeural,synthetic,1,8k,8,5.3,1,4.490563869476318,0.9925280317063249,1
edge-tts es-CO-SalomeNeural,synthetic,1,pstn,8,5.3,1,-3.4018874168395996,0.09678687916021958,0
edge-tts es-CO-SalomeNeural,synthetic,1,8k,9,6.2,2,7.961430072784424,0.9996717414044246,1
edge-tts es-CO-SalomeNeural,synthetic,1,pstn,9,6.2,2,0.7312443852424622,0.817051635317108,1
edge-tts es-CO-SalomeNeural,synthetic,1,8k,10,5.6,1,8.54338264465332,0.9998058263951326,1
edge-tts es-CO-SalomeNeural,synthetic,1,pstn,10,5.6,1,-1.0928412675857544,0.46265765228050904,0
edge-tts es-CO-SalomeNeural,synthetic,1,8k,11,5.3,1,4.64013671875,0.9934653398891672,1
edge-tts es-CO-SalomeNeural,synthetic,1,pstn,11,5.3,1,-3.714168071746826,0.07479496334396127,0
edge-tts es-CO-GonzaloNeural,synthetic,1,8k,12,5.3,2,10.503341674804688,0.9999668796344245,1
edge-tts es-CO-GonzaloNeural,synthetic,1,pstn,12,5.3,2,1.2173492312431335,0.8738220717089563,1
edge-tts es-CO-GonzaloNeural,synthetic,1,8k,13,4.1,1,16.2999267578125,0.9999998228835415,1
edge-tts es-CO-GonzaloNeural,synthetic,1,pstn,13,4.1,1,6.162199974060059,0.9983373276447721,1
edge-tts es-CO-GonzaloNeural,synthetic,1,8k,14,5.4,1,12.705485343933105,0.9999954603403163,1
edge-tts es-CO-GonzaloNeural,synthetic,1,pstn,14,5.4,1,4.822702407836914,0.9944524465726139,1
edge-tts es-CO-GonzaloNeural,synthetic,1,8k,15,5.3,2,10.657190322875977,0.9999711730150944,1
edge-tts es-CO-GonzaloNeural,synthetic,1,pstn,15,5.3,2,1.2317263633012772,0.8752456930808661,1
edge-tts es-AR-ElenaNeural,synthetic,1,8k,16,5.1,2,10.26341438293457,0.999958873084619,1
edge-tts es-AR-ElenaNeural,synthetic,1,pstn,16,5.1,2,3.9786183834075928,0.9881919039801318,1
edge-tts es-AR-ElenaNeural,synthetic,1,8k,17,8.0,3,11.566219965616861,0.9999873079715376,1
edge-tts es-AR-ElenaNeural,synthetic,1,pstn,17,8.0,2,1.6490964442491531,0.9109113853012082,1
edge-tts es-AR-ElenaNeural,synthetic,1,8k,18,6.1,2,7.96185827255249,0.9996718681869274,1
edge-tts es-AR-ElenaNeural,synthetic,1,pstn,18,6.1,2,3.49453341960907,0.9818403917903642,1
edge-tts es-AR-ElenaNeural,synthetic,1,8k,19,5.1,2,10.486394882202148,0.999966369227617,1
edge-tts es-AR-ElenaNeural,synthetic,1,pstn,19,5.1,2,4.76077127456665,0.9941354371793988,1
edge-tts es-AR-TomasNeural,synthetic,1,8k,20,5.1,1,12.420543670654297,0.9999941291679135,1
edge-tts es-AR-TomasNeural,synthetic,1,pstn,20,5.1,1,5.543018817901611,0.9970963676380267,1
edge-tts es-AR-TomasNeural,synthetic,1,8k,21,7.2,2,13.9219970703125,0.9999984856082441,1
edge-tts es-AR-TomasNeural,synthetic,1,pstn,21,7.2,2,6.020297527313232,0.9981106007611623,1
edge-tts es-AR-TomasNeural,synthetic,1,8k,22,3.6,2,9.147263288497925,0.9998873977124038,1
