call_id,kind,label,floor_db,median_db,speech_db,range_db,n_energy,n_silero
call_0294f969f98b,original,synthetic,-72.24716186523438,-72.24716186523438,-12.482257843017578,59.7649040222168,14,11
call_0294f969f98b,channel,synthetic,-28.833311080932617,-24.640405654907227,-18.172468185424805,10.660842895507812,0,13
call_0847d7417bb1,original,synthetic,-72.24716186523438,-72.24716186523438,-15.857099533081055,56.39006042480469,13,12
call_0847d7417bb1,channel,synthetic,-34.12320327758789,-26.158540725708008,-21.248680114746094,12.874523162841797,1,12
call_0cf2f4a71328,original,synthetic,-72.24716186523438,-72.24716186523438,-18.239192962646484,54.00796890258789,18,13
call_0cf2f4a71328,channel,synthetic,-37.29680252075195,-36.268619537353516,-17.35601234436035,19.9407901763916,21,12
call_0e1e2f29bfdc,original,human,-72.24716186523438,-72.24716186523438,-23.61804962158203,48.629112243652344,11,11
call_0e1e2f29bfdc,channel,human,-29.005956649780273,-28.132856369018555,-19.79789161682129,9.208065032958984,0,10
call_10aa0d1d33f0,original,human,-72.24716186523438,-72.24716186523438,-18.0626163482666,54.184547424316406,14,8
call_10aa0d1d33f0,channel,human,-34.82471466064453,-34.08372116088867,-18.187366485595703,16.637348175048828,11,6
call_120d6007bcc1,original,synthetic,-72.24716186523438,-72.24716186523438,-11.53819465637207,60.70896911621094,16,14
call_120d6007bcc1,channel,synthetic,-38.11574172973633,-26.838058471679688,-17.839019775390625,20.276721954345703,24,9
call_181a5049ecae,original,synthetic,-72.24716186523438,-72.24716186523438,-16.069700241088867,56.177459716796875,18,14
call_181a5049ecae,channel,synthetic,-28.363399505615234,-24.27975082397461,-16.136018753051758,12.227380752563477,10,12
call_185e958a253b,original,human,-72.24716186523438,-72.24716186523438,-16.676952362060547,55.57020950317383,14,14
call_185e958a253b,channel,human,-57.70185470581055,-53.61346435546875,-27.300344467163086,30.40151023864746,13,12
call_198ef413fe4a,original,human,-72.24716186523438,-72.24716186523438,-13.35982608795166,58.88733673095703,11,9
call_198ef413fe4a,channel,human,-50.678802490234375,-49.867549896240234,-12.266227722167969,38.412574768066406,11,3
call_1c1c0cce9fb5,original,human,-65.52620697021484,-61.34813690185547,-19.303855895996094,46.22235107421875,22,13
call_1c1c0cce9fb5,channel,human,-28.965497970581055,-25.67230224609375,-17.383926391601562,11.581571578979492,7,11
call_2d4374d86df7,original,synthetic,-42.56724166870117,-32.850013732910156,-16.209976196289062,26.35726547241211,47,21
call_2d4374d86df7,channel,synthetic,-44.63148880004883,-43.7453498840332,-20.718400955200195,23.913087844848633,37,13
call_36d72e4b1aef,original,synthetic,-72.24716186523438,-72.24716186523438,-11.500986099243164,60.746177673339844,12,11
call_36d72e4b1aef,channel,synthetic,-31.226787567138672,-25.69149398803711,-16.151912689208984,15.074874877929688,23,10
call_3b9afdd4a2df,original,human,-72.24716186523438,-72.24716186523438,-17.82415771484375,54.423004150390625,23,15
call_3b9afdd4a2df,channel,human,-40.273216247558594,-37.65358352661133,-17.60759735107422,22.665618896484375,13,12
call_47bef2f628eb,original,human,-64.84355163574219,-58.2418098449707,-19.853796005249023,44.98975372314453,14,13
call_47bef2f628eb,channel,human,-25.898103713989258,-22.10772705078125,-14.190608024597168,11.70749568939209,1,11
call_4affad158a4c,original,synthetic,-48.27083969116211,-45.34300994873047,-13.063488960266113,35.20735168457031,20,15
call_4affad158a4c,channel,synthetic,-22.790584564208984,-19.782278060913086,-18.215476989746094,4.575107574462891,0,12
call_569ffb0869eb,original,human,-72.24716186523438,-71.45535278320312,-23.104761123657227,49.14240264892578,15,12
call_569ffb0869eb,channel,human,-29.887691497802734,-26.54599952697754,-18.09650230407715,11.791189193725586,4,11
call_58ed2170e352,original,human,-72.24716186523438,-72.24716186523438,-22.7569580078125,49.490203857421875,18,14
call_58ed2170e352,channel,human,-32.31498718261719,-30.497173309326172,-20.63045310974121,11.684534072875977,3,12
call_5e4539a471f6,original,synthetic,-42.292930603027344,-32.982200622558594,-14.055569648742676,28.237361907958984,29,13
call_5e4539a471f6,channel,synthetic,-26.735286712646484,-24.471208572387695,-16.232778549194336,10.502508163452148,1,9
call_6058d9c5c82f,original,synthetic,-72.24716186523438,-72.24716186523438,-15.534290313720703,56.71287155151367,13,13
call_6058d9c5c82f,channel,synthetic,-42.005184173583984,-41.31938552856445,-23.017940521240234,18.98724365234375,16,12
call_64637c20ee66,original,human,-72.24716186523438,-72.03527069091797,-19.829980850219727,52.41718292236328,30,11
call_64637c20ee66,channel,human,-31.874223709106445,-23.94029426574707,-21.101272583007812,10.772951126098633,2,9
