domain,model,n,accuracy,balanced_accuracy,f1,auc,eer,far,frr,brier,accuracy_best_threshold,best_threshold,threshold_headroom,files_without_speech
altur_val,orig_only,71,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00024778602081947744,1.0,0.0,0.0,0
altur_val,robust_v2,71,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.41512176456441e-05,1.0,0.0,0.0,0
altur_val,specialist,71,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.779273461609167e-05,1.0,0.0,0.0,0
altur_val,specialist_silero,71,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.28823072155056e-05,1.0,0.0,0.0,0
channel_val_seen,orig_only,71,0.9859154929577465,0.9852941176470589,0.9850746268656716,1.0,0.0,0.029411764705882353,0.0,0.020286262554281568,1.0,-0.5331576883792877,0.014084507042253502,0
channel_val_seen,robust_v2,71,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0015757717104939956,1.0,0.0,0.0,0
channel_val_seen,specialist,71,0.7746478873239436,0.7778219395866455,0.7837837837837837,0.9077901430842606,0.22217806041335456,0.14705882352941177,0.2972972972972973,0.14128064412243513,0.8169014084507042,-5.571544702516662,0.04225352112676062,19
channel_val_seen,specialist_silero,71,0.9154929577464789,0.9117647058823529,0.9032258064516129,1.0,0.0,0.17647058823529413,0.0,0.06384162868639068,1.0,-2.06456036567688,0.08450704225352113,0
channel_val_unseen,orig_only,71,0.9295774647887324,0.9264705882352942,0.9206349206349206,1.0,0.0,0.14705882352941177,0.0,0.07572483287345316,1.0,-2.150249189138413,0.07042253521126762,0
channel_val_unseen,robust_v2,71,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.003041384590596247,1.0,0.0,0.0,0
channel_val_unseen,specialist,71,0.8169014084507042,0.8171701112877583,0.8115942028985507,0.9292527821939587,0.18282988871224168,0.17647058823529413,0.1891891891891892,0.13550804152928775,0.8873239436619719,-4.814650606025349,0.07042253521126762,17
channel_val_unseen,specialist_silero,71,0.7464788732394366,0.7352941176470589,0.6399999999999999,1.0,0.0,0.5294117647058824,0.0,0.1702877816173368,1.0,-5.264568677970341,0.2535211267605634,0
external_ood,orig_only,108,0.5555555555555556,0.59375,0.6521739130434783,0.8857638888888889,0.16666666666666663,0.0625,0.75,0.3590353901499288,0.8611111111111112,4.463976144790649,0.3055555555555556,1
external_ood,robust_v2,108,0.5462962962962963,0.5875,0.652482269503546,0.8666666666666666,0.18541666666666667,0.041666666666666664,0.7833333333333333,0.37672369001955414,0.8240740740740741,5.1795334815979,0.2777777777777778,1
external_ood,specialist,108,0.6851851851851852,0.7125,0.7301587301587301,0.8993055555555556,0.18541666666666667,0.041666666666666664,0.5333333333333333,0.2611485226114744,0.8518518518518519,4.549829959869385,0.16666666666666663,1
external_ood,specialist_silero,108,0.6018518518518519,0.6333333333333333,0.6717557251908397,0.8489583333333334,0.21250000000000002,0.08333333333333333,0.65,0.3334695426229231,0.8148148148148148,4.628185749053955,0.2129629629629629,1
external_ood_channel,orig_only,108,0.7685185185185185,0.7479166666666667,0.6835443037974683,0.8909722222222223,0.21250000000000002,0.4375,0.06666666666666667,0.18939312327979396,0.8148148148148148,-2.6999224424362183,0.04629629629629628,1
external_ood_channel,robust_v2,108,0.8148148148148148,0.8145833333333333,0.7959183673469388,0.8909722222222222,0.18541666666666667,0.1875,0.18333333333333332,0.14011240007384565,0.8333333333333334,0.0280028581619262,0.0185185185185186,1
external_ood_channel,specialist,108,0.6203703703703703,0.5875,0.4057971014492754,0.7944444444444445,0.26875000000000004,0.7083333333333334,0.11666666666666667,0.30370754356168833,0.7592592592592593,-5.159413818269968,0.13888888888888895,9
external_ood_channel,specialist_silero,108,0.6481481481481481,0.6083333333333334,0.3870967741935483,0.89375,0.16666666666666663,0.75,0.03333333333333333,0.2790485966411616,0.8333333333333334,-4.949978351593018,0.18518518518518523,1
stress,orig_only,781,0.9820742637644047,0.981283422459893,0.9809264305177112,0.9998883180701362,0.007696198872669477,0.0374331550802139,0.0,0.011323178118306599,0.9948783610755442,-1.5653196255366006,0.012804097311139517,0
stress,robust_v2,781,0.9846350832266325,0.984607602254661,0.983957219251337,0.9993430474713898,0.01662089897384013,0.016042780748663103,0.014742014742014743,0.011687283857209203,0.9859154929577465,-0.3906611563528285,0.001280409731113985,0
stress,specialist,781,0.9743918053777209,0.9735872235872236,0.9727520435967303,0.9968531973879567,0.0243170978465096,0.045454545454545456,0.007371007371007371,0.019960264059464168,0.9756722151088348,-1.4033447865928923,0.001280409731113985,1
stress,specialist_silero,781,0.9897567221510883,0.9893048128342246,0.9891891891891893,0.9999474437977112,0.0051307992484463175,0.0213903743315508,0.0,0.007299666066883032,0.9961587708066582,-1.8627745045555963,0.006402048655569814,0
