feature_set,model,n_features,val_accuracy,val_balanced_accuracy,val_auc,val_eer,val_f1,train_auc
duration_only,logreg,1,0.4647887323943662,0.46621621621621623,0.5174880763116056,0.49324324324324326,0.4722222222222222,0.5305021731161963
duration_only,gbm,1,0.5352112676056338,0.5492845786963434,0.581081081081081,0.49324324324324326,0.6451612903225806,0.8012253233492171
duration+silence,logreg,3,0.7464788732394366,0.7484101748807631,0.8847376788553258,0.21104928457869637,0.7499999999999999,0.9389956537676074
duration+silence,gbm,3,0.8591549295774648,0.8600953895071541,0.9439586645468998,0.14109697933227347,0.8571428571428571,0.9984814368749019
metadata,logreg,9,0.8873239436619719,0.8871224165341812,0.9523052464228934,0.11287758346581878,0.8823529411764706,0.9829292559040687
metadata,gbm,9,0.8873239436619719,0.8883147853736089,0.9531001589825119,0.14109697933227347,0.8857142857142858,0.9999999999999999
loudness,logreg,7,0.9014084507042254,0.8994435612082671,0.9570747217806042,0.08465818759936408,0.8923076923076922,0.8990940985495104
loudness,gbm,7,0.9154929577464789,0.9165341812400636,0.9495230524642289,0.11287758346581878,0.9142857142857143,0.9816986961302823
bandwidth,logreg,3,0.9014084507042254,0.9054054054054055,0.9713831478537361,0.08465818759936408,0.9066666666666667,0.9622977431010106
bandwidth,gbm,3,0.676056338028169,0.6724960254372019,0.7647058823529412,0.3239268680445151,0.6349206349206349,0.9958632245902498
behavioural,logreg,6,0.8873239436619719,0.8895071542130366,0.9340222575516693,0.11287758346581878,0.8888888888888888,0.9502016023459182
behavioural,gbm,6,0.8591549295774648,0.8612877583465819,0.9356120826709062,0.14109697933227347,0.861111111111111,0.998847986594753
all_trivial,logreg,24,0.9859154929577465,0.9852941176470589,1.0,0.0,0.9850746268656716,1.0
all_trivial,gbm,24,0.9859154929577465,0.9852941176470589,0.9960254372019078,0.028219395866454694,0.9850746268656716,1.0
