anon_id,split,score
call_0181ce113ebe,train,0.8135
call_018c9d3823ac,train,0.7868
call_01bf49059daf,train,0.8777
call_01c3806808d6,train,0.7762
call_0294f969f98b,val,0.9392
call_02c249d2f89d,train,0.8792
call_02d28871d7b3,train,0.9344
call_03680846967f,train,0.9492
call_04d682ac0cef,train,0.2535
call_05d6615469e1,train,0.9690
call_0615c3630150,train,0.3505
call_064d8dd77899,train,0.6315
call_06b5a78ea12e,train,0.9877
call_0847d7417bb1,val,0.9342
call_092aef8d1243,train,0.0344
call_098d8081babe,train,0.9148
call_099dffdf8486,train,0.9820
call_0a9c546208d1,train,0.1023
call_0ab7d2a0c0f5,train,0.0805
call_0cf2f4a71328,val,0.9160
call_0e101713ee94,train,0.9597
call_0e1e2f29bfdc,val,0.0461
call_10aa0d1d33f0,val,0.8947
call_10ceaf16fbbf,train,0.8315
call_11d3230256a1,train,0.1106
call_120d6007bcc1,val,0.9651
call_1612f093f8b5,train,0.0483
call_16581bcbc272,train,0.0211
call_1761edbd6952,train,0.0275
call_181a5049ecae,val,0.8584
call_185e958a253b,val,0.0409
call_186e9d6ee732,train,0.9295
call_189410107163,train,0.8319
call_18bd3c505fd5,train,0.9613
call_198ef413fe4a,val,0.1772
call_1a2f3635b411,train,0.5093
call_1ad99899456c,train,0.9739
call_1ba56b3cce45,train,0.9492
call_1bf0aa4d4324,train,0.1487
call_1c1c0cce9fb5,val,0.3880
call_1cc930924760,train,0.9689
call_1ee2936b46a7,train,0.9195
call_224586045e67,train,0.3666
call_22d0f235a47e,train,0.1507
call_22eacbc23d18,train,0.0637
call_23991b635849,train,0.1578
call_24e1989c4d6d,train,0.1618
call_253156878935,train,0.7991
call_26be2ced1f65,train,0.6895
call_2741c273bfcc,train,0.9044
call_290aacdf95ca,train,0.7634
call_29a23dea3118,train,0.6382
call_29e423c5b8aa,train,0.0395
call_29f2b21b3d8a,train,0.9674
call_29fddbedd6a4,train,0.7636
call_2a34be1bd407,train,0.0734
call_2cd6a0b37e59,train,0.3773
call_2d2c74bdeb7b,train,0.3225
call_2d4374d86df7,val,0.6601
call_30c4f6565eec,train,0.7400
call_312805f2b67f,train,0.8434
call_3332ecee2806,train,0.2035
call_349b9fddaff0,train,0.1001
call_34f4c668dbe8,train,0.1326
call_35966c559fcc,train,0.3072
call_36640e327eaf,train,0.0708
call_36d72e4b1aef,val,0.9342
call_373750027ccd,train,0.9751
call_374f870c8124,train,0.5333
call_37e63dcc8185,train,0.9349
call_387c5493a07f,train,0.8790
call_39880aff21ed,train,0.9338
call_3adbf4ac0f30,train,0.1520
call_3b1bf9fab29d,train,0.2574
call_3b9afdd4a2df,val,0.1687
call_3ca96b2dd5c4,train,0.4238
call_3cd08cbaf55c,train,0.9889
call_3d69be34ef44,train,0.4225
call_3f3ac4984431,train,0.1738
call_415d987a1504,train,0.7768
call_41fc5fd779c9,train,0.9911
call_450b4e13468b,train,0.5696
call_4789ebd9b148,train,0.9108
call_47bef2f628eb,val,0.0175
call_486215b37ca1,train,0.0086
call_488e7b893457,train,0.1035
call_4ac92327c83b,train,0.8006
call_4affad158a4c,val,0.2559
call_4b1bec58d02d,train,0.9757
call_4baef170cf46,train,0.1000
call_4c278007298d,train,0.7855
call_4c8c40f7c2fd,train,0.2553
call_4cd5b14fbe3c,train,0.9546
call_4d8129939686,train,0.9651
call_4e60206f7e8a,train,0.7809
call_4e9cec0da4ea,train,0.8073
call_4f0dad5104b3,train,0.4099
call_51851f91f064,train,0.2962
call_5273f6be303c,train,0.3784
call_52ba7c3bd761,train,0.9791
call_52bfee0220ab,train,0.8778
call_54a09817b7e2,train,0.8695
call_565b6523733e,train,0.1721
call_568b5e814bc3,train,0.0116
call_569ffb0869eb,val,0.1110
call_56f58de34ea0,train,0.7610
call_578504f9f39e,train,0.8478
call_57f113803718,train,0.6513
call_5823cd70919d,train,0.7315
call_58a0f7394bc3,train,0.9030
call_58ed2170e352,val,0.0159
call_5a6307557d57,train,0.4517
call_5a7a7e3c9588,train,0.9520
call_5c9d19646f57,train,0.2860
call_5d86f0ca06aa,train,0.6962
call_5e4539a471f6,val,0.9496
call_5f7a4b3e8ca9,train,0.8584
call_6058d9c5c82f,val,0.8809
call_60ffdefc5f5a,train,0.5659
call_624a4731ab56,train,0.2710
call_63a156c6b8d9,train,0.0846
call_64637c20ee66,val,0.0209
call_65a7cdefc22d,train,0.0228
call_6756c4a91509,train,0.8312
call_678ee1dd2242,val,0.1860
call_68544c09a58b,train,0.7674
call_6971b2685c1d,val,0.2549
call_6afd8cabf618,train,0.9642
call_6b0cc9c966a1,train,0.0074
call_6b31fbd81fc3,train,0.7114
call_6b6499e4474f,train,0.8437
call_6c8d4490f8d7,val,0.9787
call_6d88a2e95795,train,0.0886
call_6dfa70c50ea5,train,0.5904
call_6e83cb807322,train,0.0041
call_70101b573bb2,train,0.7504
call_70de89818ee5,train,0.8603
call_716d56beca2a,train,0.3188
call_71fec5a6b017,train,0.9749
call_743448b8a861,val,0.3485
call_74b20933dd43,val,0.0039
call_750153d8eb40,train,0.0938
call_7519d635bbbb,train,0.9488
call_7601ac7d4fbf,train,0.9717
call_76856257e3ef,train,0.9962
call_7744ab92baa3,train,0.0361
call_794031bf2233,train,0.1349
call_7a250598cb8b,train,0.7402
call_7a345e2b0f37,train,0.9717
call_7ae75e4aa32f,train,0.5757
call_7b14e69a57bd,train,0.0002
call_7b1e73c133f8,val,0.9889
call_7d4f3b80384e,train,0.9788
call_7d5b26105bb5,train,0.9676
call_7f82debeb19b,train,0.0309
call_802282383eb2,train,0.7214
call_810c24005ecc,val,0.9932
call_810e3066a7b4,val,0.9355
call_81b12145be34,train,0.9556
call_81b98c77cf99,train,0.4763
call_850d796d23a7,train,0.9405
call_8570ae0e7d61,train,0.8399
call_8834a90f11cd,train,0.2534
call_8893de2fe204,train,0.8921
call_88cd54e1e505,train,0.9480
call_88d7858b7921,train,0.8615
call_893d552b156a,train,0.2889
call_8a3996f823e4,train,0.6832
call_8a570a10920b,train,0.8895
call_8a61615c9927,train,0.2294
call_8a9391c1823b,train,0.2587
call_8ade6f74aa33,train,0.8398
call_8ae3fce602f3,train,0.5652
call_8c2ebe3761bb,train,0.9683
call_8c6b33721067,train,0.9802
call_8cafd2754e55,val,0.8235
call_8d3ea77f4bb4,train,0.9393
call_8d6cd93e02b8,train,0.0769
call_8d75a71e6126,val,0.5492
call_8da8b9947630,val,0.2702
call_8e6c9fa78a21,train,0.9927
call_8ed994ce484f,train,0.9193
call_8ee1e10130a2,train,0.9635
call_8f8e2145bc91,train,0.8562
call_9083846f078a,train,0.9851
call_91a25cd95998,train,0.6412
call_924e8a27e4de,train,0.1327
call_925ba94f05a4,val,0.5849
call_927c1f5f2007,train,0.6160
call_9491f635b944,train,0.1749
call_94a8c8502249,train,0.0008
call_957a8384caff,val,0.9833
call_95ccefc6e4ce,val,0.2255
call_9741efdd34af,train,0.1459
call_97701e543c60,train,0.7305
call_989dad5aa1af,train,0.2368
call_9a3d5b0a64a3,val,0.2225
call_9bb847dfc83e,val,0.4199
call_9c2dbbd1fe2e,train,0.9738
call_9dc1a304389f,train,0.7395
call_9f11e2c5441c,val,0.1076
call_a0fbbe7bfec4,train,0.0218
